mode,n,failures_mean,failures_std,failures_ci95,failure_rate_mean,failure_rate_std,failure_rate_ci95,max_abs_state_mean,max_abs_state_std,max_abs_state_ci95,mean_abs_state_mean,mean_abs_state_std,mean_abs_state_ci95,correction_budget_mean,correction_budget_std,correction_budget_ci95,correction_events_mean,correction_events_std,correction_events_ci95,latency_ms_mean,latency_ms_std,latency_ms_ci95,final_instability_mean,final_instability_std,final_instability_ci95
continuous_supervision,50,0.0,0.0,0.0,0.0,0.0,0.0,0.6863263863851617,0.08786180233671075,0.0243540490859076,0.10920373332212197,0.0012356699872109968,0.0003425102458881114,1539312.84,1072.0068603191999,297.14514160080086,1000.0,0.0,0.0,638.8661369431065,0.7212695283792127,0.19992571323542438,4.4000000000000006e-05,8.369039151929606e-05,2.3197792998472936e-05
control,50,785.0,25.821996634731438,7.157492298284365,0.15699999999999997,0.005164399326946285,0.0014314984596568723,6.957585982764985,0.5191603711653816,0.14390391303795158,1.3935487710802195,0.015249888027553041,0.004227053300754373,0.0,0.0,0.0,0.0,0.0,0.0,359.61710032075644,0.44644455653124404,0.12374811755204894,0.6669800000000001,0.006345462785265048,0.0017588725479692946
event_gated_duj,50,0.0,0.0,0.0,0.0,0.0,0.0,1.2109756316906763,0.18007037396175785,0.049912961147509344,0.3438665399099291,0.0027508633708961837,0.0007625004243219235,35162.52,263.816126443075,73.12609942175227,997.8,0.4040610178208843,0.112,566.6452807799214,0.697031395457627,0.19320724555977997,0.004044,0.0017239205436493663,0.0004778463954033764
event_gated_no_cooccurrence,50,0.0,0.0,0.0,0.0,0.0,0.0,0.8608672950940085,0.13038817936271227,0.03614175939906514,0.11801451760051047,0.0014178359960631524,0.00039300408739124216,1501954.34,1041.965540775349,288.81811266082326,999.0,0.0,0.0,625.1048635214102,0.4395710940264817,0.12184289094868817,0.00035200000000000005,0.0003221357300446949,8.929146879741646e-05
