mode,seed,agents,steps,failures,failure_rate,max_abs_state,mean_abs_state,correction_budget,correction_events,latency_ms,final_instability
continuous_supervision,39,5000,1000,0,0.0,0.7494306840865548,0.11032991457503322,1539401.0,1000,639.4101269979728,0.0
continuous_supervision,40,5000,1000,0,0.0,0.6473456414438135,0.10988266096820128,1540706.0,1000,639.5087530108867,0.0
continuous_supervision,41,5000,1000,0,0.0,0.6852712869955142,0.11016439349684023,1540026.0,1000,639.0786650008522,0.0
continuous_supervision,42,5000,1000,0,0.0,0.564754694903539,0.10814109149370818,1538576.0,1000,638.9478460041573,0.0
continuous_supervision,43,5000,1000,0,0.0,0.8391847590742698,0.10821557372561329,1539586.0,1000,639.0664719947381,0.0002
continuous_supervision,44,5000,1000,0,0.0,0.7389006432153005,0.10829519085756578,1539712.0,1000,638.6554880009498,0.0
continuous_supervision,45,5000,1000,0,0.0,0.8072868222671473,0.10947465992573074,1538228.0,1000,638.2881859899499,0.0002
continuous_supervision,46,5000,1000,0,0.0,0.5010687338297574,0.10893815111469514,1540036.0,1000,638.936579998699,0.0
continuous_supervision,47,5000,1000,0,0.0,0.607828872133846,0.11019997672292857,1538986.0,1000,639.3438829982188,0.0
continuous_supervision,48,5000,1000,0,0.0,0.6259074093083821,0.11060103021370439,1540140.0,1000,638.8684819976334,0.0
continuous_supervision,49,5000,1000,0,0.0,0.5462964487791365,0.10947754822949009,1540505.0,1000,638.7412159965606,0.0
event_gated_no_cooccurrence,0,5000,1000,0,0.0,0.7307085499263609,0.12041745260276773,1503411.0,999,623.0740430037258,0.0
event_gated_no_cooccurrence,1,5000,1000,0,0.0,0.9481362033737757,0.11681281839743146,1502469.0,999,622.9262319975533,0.0008
event_gated_no_cooccurrence,2,5000,1000,0,0.0,0.7212800143603,0.11834614937904962,1501531.0,999,623.0771140108118,0.0
event_gated_no_cooccurrence,3,5000,1000,0,0.0,0.8328262184303802,0.11979082500715629,1502180.0,999,622.9475430009188,0.0002
event_gated_no_cooccurrence,4,5000,1000,0,0.0,0.814799550496379,0.11787120958240334,1501405.0,999,623.5102409991669,0.0002
