step,parents,children,total_agents,violations,corrections,correction_energy,mean_residual,latency_ms
0,100000000,400000000,500000000,0,0,0.0,0.03613611059582488,2204.958203015849
1,100000000,400000000,500000000,0,0,0.0,0.038653557248663734,1681.6513410012703
2,100000000,400000000,500000000,0,0,0.0,0.04088731800748555,1681.5592169878073
