step,parents,children,total_agents,violations,corrections,correction_energy,mean_residual,latency_ms
0,200000000,800000000,1000000000,0,0,0.0,0.036134892064294516,3830.6804969906807
1,200000000,800000000,1000000000,0,0,0.0,0.03865324501223295,3362.132817012025
2,200000000,800000000,1000000000,0,0,0.0,0.04088736752261517,3362.21211598604
